Gabriel Fernandes (segue 403, seguido por 500)
Julia Pereira (segue 474, seguido por 389)
Arthur Lopes (segue 449, seguido por 389)
Eloa Fernandes (segue 424, seguido por 389)
Theo Barbosa (segue 410, seguido por 389)
Benicio Vieira (segue 378, seguido por 389)
Eloa Oliveira (segue 302, seguido por 389)
Luisa Silva (segue 296, seguido por 389)
Lucas Vieira (segue 211, seguido por 389)
Isaac Dias (segue 407, seguido por 388)
Elisa Rocha (segue 355, seguido por 388)
Laura Dias (segue 477, seguido por 387)
Eloa Pereira (segue 280, seguido por 387)
Gael Rodrigues (segue 372, seguido por 386)
Heitor Lopes (segue 285, seguido por 386)
Ayla Oliveira (segue 236, seguido por 386)
Benicio Ferreira (segue 484, seguido por 385)
Sophia Costa (segue 469, seguido por 385)
Alice Lopes (segue 373, seguido por 385)
Lucas Rocha (segue 278, seguido por 385)
Maite Gomes (segue 450, seguido por 384)
Julia Ferreira (segue 330, seguido por 384)
Antonella Nascimento (segue 456, seguido por 383)
Isis Nascimento (segue 407, seguido por 383)
Sophia Nascimento (segue 387, seguido por 382)
Julia Rodrigues (segue 342, seguido por 382)
Gabriel Silva (segue 282, seguido por 382)
Miguel Gomes (segue 331, seguido por 381)
Samuel Lima (segue 271, seguido por 381)
Miguel Ferreira (segue 238, seguido por 381)
Theo Souza (segue 458, seguido por 380)
Heloisa Lima (segue 467, seguido por 379)
Nicolas Barbosa (segue 325, seguido por 379)
Manuela Nascimento (segue 274, seguido por 379)
Maite Carvalho (segue 261, seguido por 379)
Liz Oliveira (segue 219, seguido por 379)
Helena Lopes (segue 447, seguido por 378)
Ayla Silva (segue 374, seguido por 378)
Heitor Dias (segue 284, seguido por 378)
Heitor Santos (segue 259, seguido por 378)
Theo Lima (segue 483, seguido por 376)
Samuel Dias (segue 406, seguido por 376)
Theo Vieira (segue 386, seguido por 376)
Ayla Rodrigues (segue 444, seguido por 375)
Elisa Ferreira (segue 376, seguido por 375)
Antonella Alves (segue 482, seguido por 374)
Ayla Barbosa (segue 318, seguido por 374)
Antonella Pereira (segue 412, seguido por 373)
Eloa Ferreira (segue 376, seguido por 373)
Isis Alves (segue 281, seguido por 373)
Manuela Silva (segue 265, seguido por 373)
Noah Santos (segue 245, seguido por 373)
Noah Santos (segue 477, seguido por 372)
Gael Dias (segue 338, seguido por 372)
Luisa Ferreira (segue 263, seguido por 372)
Samuel Lopes (segue 235, seguido por 372)
Matheus Barbosa (segue 227, seguido por 372)
Gabriel Oliveira (segue 492, seguido por 371)
Maria Luisa Santos (segue 363, seguido por 371)
Cecilia Souza (segue 241, seguido por 371)
Julia Rodrigues (segue 462, seguido por 370)
Julia Vieira (segue 390, seguido por 370)
Sophia Gomes (segue 383, seguido por 370)
Noah Santos (segue 305, seguido por 370)
Gael Vieira (segue 298, seguido por 370)
Eloa Martins (segue 279, seguido por 370)
Ayla Alves (segue 225, seguido por 370)
Nicolas Martins (segue 202, seguido por 369)
Anthony Souza (segue 431, seguido por 368)
Luisa Barbosa (segue 427, seguido por 368)
Maria Alice Rocha (segue 259, seguido por 367)
Maria Alice Santos (segue 256, seguido por 367)
Elisa Rodrigues (segue 496, seguido por 366)
Benicio Carvalho (segue 456, seguido por 366)
Cecilia Rocha (segue 433, seguido por 366)
Bernardo Lopes (segue 327, seguido por 366)
Anthony Fernandes (segue 343, seguido por 365)
Isis Vieira (segue 326, seguido por 365)
Cecilia Martins (segue 242, seguido por 365)
Theo Santos (segue 497, seguido por 364)
Theo Silva (segue 429, seguido por 364)
Isaac Costa (segue 409, seguido por 364)
Alice Costa (segue 231, seguido por 364)
Eloa Barbosa (segue 358, seguido por 363)
Nicolas Pereira (segue 341, seguido por 363)
Ayla Alves (segue 230, seguido por 363)
Gael Santos (segue 496, seguido por 362)
Maria Luisa Santos (segue 339, seguido por 362)
Liz Nascimento (segue 450, seguido por 361)
Maria Alice Gomes (segue 429, seguido por 361)
Arthur Carvalho (segue 423, seguido por 361)
Helena Ferreira (segue 355, seguido por 361)
Eloa Alves (segue 445, seguido por 360)
Benicio Carvalho (segue 328, seguido por 360)
Matheus Pereira (segue 477, seguido por 359)
Helena Ferreira (segue 448, seguido por 359)
Alice Martins (segue 210, seguido por 359)
Laura Costa (segue 422, seguido por 358)
Noah Pereira (segue 377, seguido por 358)
Eloa Rodrigues (segue 343, seguido por 358)
Samuel Rodrigues (segue 311, seguido por 358)
Laura Vieira (segue 262, seguido por 358)
Maria Alice Dias (segue 278, seguido por 357)
Joaquim Rodrigues (segue 273, seguido por 356)
Antonella Santos (segue 235, seguido por 356)
Isabella Carvalho (segue 491, seguido por 355)
Helena Santos (segue 325, seguido por 355)
Matheus Silva (segue 271, seguido por 355)
Davi Oliveira (segue 210, seguido por 355)
Antonella Alves (segue 400, seguido por 354)
Ravi Lima (segue 360, seguido por 354)
Elisa Souza (segue 231, seguido por 354)
Noah Martins (segue 474, seguido por 353)
Maria Alice Martins (segue 467, seguido por 353)
Matheus Santos (segue 211, seguido por 353)
Bernardo Martins (segue 410, seguido por 352)
Pedro Fernandes (segue 388, seguido por 352)
Gabriel Lima (segue 404, seguido por 351)
Pedro Costa (segue 367, seguido por 351)
Gabriel Nascimento (segue 310, seguido por 351)
Luisa Fernandes (segue 233, seguido por 351)
Maria Alice Vieira (segue 203, seguido por 351)
Isabella Souza (segue 457, seguido por 350)
Sophia Fernandes (segue 453, seguido por 350)
Arthur Rodrigues (segue 423, seguido por 350)
Maria Luisa Alves (segue 282, seguido por 350)
Arthur Carvalho (segue 256, seguido por 350)
Maria Alice Souza (segue 238, seguido por 350)
Benicio Carvalho (segue 227, seguido por 350)
Antonella Dias (segue 439, seguido por 349)
Maria Luisa Lima (segue 428, seguido por 349)
Davi Oliveira (segue 405, seguido por 349)
Laura Rodrigues (segue 331, seguido por 349)
Samuel Vieira (segue 292, seguido por 349)
Arthur Vieira (segue 285, seguido por 349)
Heloisa Carvalho (segue 336, seguido por 347)
Liz Rocha (segue 246, seguido por 347)
Matheus Martins (segue 485, seguido por 346)
Valentina Ferreira (segue 376, seguido por 346)
Luisa Dias (segue 276, seguido por 346)
Maite Rodrigues (segue 458, seguido por 345)
Gabriel Rocha (segue 359, seguido por 345)
Isabella Carvalho (segue 304, seguido por 345)
Heitor Martins (segue 243, seguido por 345)
Nicolas Costa (segue 411, seguido por 344)
Anthony Martins (segue 308, seguido por 344)
Julia Nascimento (segue 283, seguido por 344)
Miguel Oliveira (segue 281, seguido por 344)
Alice Martins (segue 422, seguido por 343)
Elisa Ferreira (segue 365, seguido por 342)
Liz Lima (segue 322, seguido por 342)
Maria Alice Oliveira (segue 288, seguido por 342)
Miguel Santos (segue 205, seguido por 342)
Antonella Carvalho (segue 460, seguido por 341)
Ravi Gomes (segue 457, seguido por 341)
Heloisa Martins (segue 438, seguido por 341)
Benjamin Nascimento (segue 219, seguido por 341)
Laura Ferreira (segue 271, seguido por 340)
Arthur Costa (segue 260, seguido por 340)
Joaquim Lima (segue 214, seguido por 340)
Maria Luisa Pereira (segue 402, seguido por 339)
Joaquim Oliveira (segue 377, seguido por 339)
Samuel Santos (segue 496, seguido por 338)
Pedro Vieira (segue 471, seguido por 338)
Manuela Carvalho (segue 360, seguido por 338)
Maria Luisa Carvalho (segue 290, seguido por 338)
Sophia Rocha (segue 247, seguido por 338)
Theo Barbosa (segue 231, seguido por 338)
Noah Carvalho (segue 238, seguido por 337)
Isabella Vieira (segue 210, seguido por 337)
Bernardo Gomes (segue 411, seguido por 336)
Samuel Vieira (segue 281, seguido por 336)
Lucas Oliveira (segue 471, seguido por 335)
Isaac Pereira (segue 355, seguido por 335)
Sophia Gomes (segue 478, seguido por 333)
Gabriel Nascimento (segue 284, seguido por 333)
Heitor Santos (segue 268, seguido por 333)
Nicolas Dias (segue 261, seguido por 333)
Pedro Souza (segue 245, seguido por 333)
Bernardo Rocha (segue 434, seguido por 332)
Valentina Vieira (segue 424, seguido por 332)
Samuel Souza (segue 408, seguido por 332)
Gabriel Lopes (segue 241, seguido por 332)
Luisa Alves (segue 215, seguido por 332)
Ayla Silva (segue 417, seguido por 331)
Isaac Vieira (segue 361, seguido por 331)
Maria Luisa Martins (segue 226, seguido por 331)
Davi Costa (segue 207, seguido por 331)
Anthony Santos (segue 342, seguido por 330)
Lucas Fernandes (segue 221, seguido por 330)
Benicio Carvalho (segue 409, seguido por 329)
Matheus Martins (segue 379, seguido por 329)
Ayla Lopes (segue 403, seguido por 328)
Arthur Pereira (segue 313, seguido por 328)
Valentina Lima (segue 308, seguido por 328)
Valentina Nascimento (segue 215, seguido por 328)
Noah Fernandes (segue 451, seguido por 327)
Joaquim Vieira (segue 332, seguido por 327)
Julia Nascimento (segue 276, seguido por 327)
Laura Dias (segue 401, seguido por 326)
Gael Silva (segue 428, seguido por 325)
Maria Luisa Fernandes (segue 343, seguido por 325)
Ravi Lopes (segue 334, seguido por 325)
Heloisa Nascimento (segue 323, seguido por 325)
Maite Fernandes (segue 231, seguido por 325)
Sophia Ferreira (segue 476, seguido por 324)
Sophia Santos (segue 429, seguido por 324)
Bernardo Oliveira (segue 383, seguido por 324)
Benicio Nascimento (segue 313, seguido por 324)
Laura Vieira (segue 303, seguido por 324)
Eloa Rodrigues (segue 247, seguido por 324)
Miguel Oliveira (segue 245, seguido por 324)
Laura Rocha (segue 479, seguido por 323)
Benjamin Martins (segue 468, seguido por 323)
Luisa Barbosa (segue 466, seguido por 323)
Anthony Silva (segue 453, seguido por 323)
Liz Oliveira (segue 387, seguido por 323)
Miguel Ferreira (segue 363, seguido por 323)
Theo Pereira (segue 272, seguido por 323)
Heitor Costa (segue 368, seguido por 322)
Samuel Martins (segue 360, seguido por 322)
Anthony Pereira (segue 305, seguido por 322)
Heitor Rodrigues (segue 299, seguido por 322)
Theo Silva (segue 280, seguido por 322)
Julia Martins (segue 493, seguido por 321)
Theo Pereira (segue 264, seguido por 321)
Theo Lopes (segue 227, seguido por 321)
Lucas Gomes (segue 261, seguido por 320)
Miguel Alves (segue 487, seguido por 319)
Samuel Ferreira (segue 484, seguido por 319)
Isabella Martins (segue 453, seguido por 319)
Benicio Santos (segue 339, seguido por 319)
Eloa Ferreira (segue 318, seguido por 319)
Maria Luisa Carvalho (segue 300, seguido por 319)
Maria Alice Oliveira (segue 494, seguido por 318)
Bernardo Vieira (segue 484, seguido por 318)
Noah Lima (segue 418, seguido por 318)
Noah Souza (segue 213, seguido por 318)
Isis Dias (segue 209, seguido por 318)
Alice Barbosa (segue 409, seguido por 317)
Isis Pereira (segue 387, seguido por 317)
Antonella Pereira (segue 358, seguido por 317)
Bernardo Vieira (segue 323, seguido por 317)
Antonella Ferreira (segue 486, seguido por 316)
Elisa Lima (segue 341, seguido por 316)
Anthony Silva (segue 476, seguido por 315)
Arthur Nascimento (segue 453, seguido por 315)
Isaac Carvalho (segue 326, seguido por 315)
Pedro Alves (segue 292, seguido por 315)
Julia Lopes (segue 277, seguido por 315)
Sophia Carvalho (segue 260, seguido por 315)
Maite Rodrigues (segue 244, seguido por 315)
Joaquim Silva (segue 471, seguido por 314)
Liz Fernandes (segue 298, seguido por 314)
Julia Martins (segue 272, seguido por 314)
Isabella Lima (segue 257, seguido por 314)
Joaquim Alves (segue 485, seguido por 313)
Isis Silva (segue 371, seguido por 313)
Valentina Gomes (segue 438, seguido por 312)
Valentina Lopes (segue 411, seguido por 312)
Nicolas Rocha (segue 335, seguido por 312)
Liz Lopes (segue 486, seguido por 311)
Davi Souza (segue 376, seguido por 311)
Heloisa Oliveira (segue 357, seguido por 311)
Liz Silva (segue 484, seguido por 310)
Valentina Carvalho (segue 395, seguido por 310)
